,base,snap,calc,ex_en,osc
110,/home/share/wesolowski/NR_CGE_HUJI,360,5_Angstroms/emb1,3.300061,2.66573
111,/home/share/wesolowski/NR_CGE_HUJI,361,5_Angstroms/emb1,3.562283,2.395415
112,/home/share/wesolowski/NR_CGE_HUJI,362,5_Angstroms/emb1,3.641588,2.441673
113,/home/share/wesolowski/NR_CGE_HUJI,363,5_Angstroms/emb1,3.851797,2.563884
114,/home/share/wesolowski/NR_CGE_HUJI,364,5_Angstroms/emb1,3.626067,2.589327
115,/home/share/wesolowski/NR_CGE_HUJI,365,5_Angstroms/emb1,3.606271,2.592771
116,/home/share/wesolowski/NR_CGE_HUJI,366,5_Angstroms/emb1,3.611452,2.667296
117,/home/share/wesolowski/NR_CGE_HUJI,367,5_Angstroms/emb1,3.36576,2.597099
118,/home/share/wesolowski/NR_CGE_HUJI,368,5_Angstroms/emb1,3.508195,2.518147
119,/home/share/wesolowski/NR_CGE_HUJI,369,5_Angstroms/emb1,3.131938,2.539669
120,/home/share/wesolowski/NR_CGE_HUJI,370,5_Angstroms/emb1,3.35851,2.628128
121,/home/share/wesolowski/NR_CGE_HUJI,371,5_Angstroms/emb1,3.648569,2.702012
122,/home/share/wesolowski/NR_CGE_HUJI,372,5_Angstroms/emb1,3.277943,2.541729
123,/home/share/wesolowski/NR_CGE_HUJI,373,5_Angstroms/emb1,3.175288,2.44947
124,/home/share/wesolowski/NR_CGE_HUJI,374,5_Angstroms/emb1,3.865324,2.41804
125,/home/share/wesolowski/NR_CGE_HUJI,375,5_Angstroms/emb1,3.491497,2.656235
126,/home/share/wesolowski/NR_CGE_HUJI,376,5_Angstroms/emb1,3.700109,2.446667
127,/home/share/wesolowski/NR_CGE_HUJI,377,5_Angstroms/emb1,3.239937,2.562281
128,/home/share/wesolowski/NR_CGE_HUJI,378,5_Angstroms/emb1,3.500816,2.656776
129,/home/share/wesolowski/NR_CGE_HUJI,379,5_Angstroms/emb1,3.349327,2.565947
130,/home/share/wesolowski/NR_CGE_HUJI,380,5_Angstroms/emb1,3.481293,2.454297
131,/home/share/wesolowski/NR_CGE_HUJI,381,5_Angstroms/emb1,3.500996,2.627839
132,/home/share/wesolowski/NR_CGE_HUJI,382,5_Angstroms/emb1,3.639014,2.559547
133,/home/share/wesolowski/NR_CGE_HUJI,383,5_Angstroms/emb1,3.553903,2.537048
134,/home/share/wesolowski/NR_CGE_HUJI,384,5_Angstroms/emb1,3.364697,2.498698
135,/home/share/wesolowski/NR_CGE_HUJI,385,5_Angstroms/emb1,3.379026,2.531771
136,/home/share/wesolowski/NR_CGE_HUJI,386,5_Angstroms/emb1,3.563788,2.600423
137,/home/share/wesolowski/NR_CGE_HUJI,387,5_Angstroms/emb1,3.567616,2.611855
138,/home/share/wesolowski/NR_CGE_HUJI,388,5_Angstroms/emb1,3.464198,2.597796
139,/home/share/wesolowski/NR_CGE_HUJI,389,5_Angstroms/emb1,3.368775,2.545991
140,/home/share/wesolowski/NR_CGE_HUJI,390,5_Angstroms/emb1,3.588027,2.463141
141,/home/share/wesolowski/NR_CGE_HUJI,391,5_Angstroms/emb1,3.420923,2.492069
142,/home/share/wesolowski/NR_CGE_HUJI,392,5_Angstroms/emb1,3.724564,2.418984
143,/home/share/wesolowski/NR_CGE_HUJI,393,5_Angstroms/emb1,3.45688,2.513842
144,/home/share/wesolowski/NR_CGE_HUJI,394,5_Angstroms/emb1,3.548401,2.552849
145,/home/share/wesolowski/NR_CGE_HUJI,395,5_Angstroms/emb1,3.647199,2.521791
146,/home/share/wesolowski/NR_CGE_HUJI,396,5_Angstroms/emb1,3.654045,2.405234
147,/home/share/wesolowski/NR_CGE_HUJI,397,5_Angstroms/emb1,3.5287,2.570621
148,/home/share/wesolowski/NR_CGE_HUJI,398,5_Angstroms/emb1,3.431065,2.490269
149,/home/share/wesolowski/NR_CGE_HUJI,399,5_Angstroms/emb1,3.749101,2.587671
150,/home/share/wesolowski/NR_CGE_HUJI,400,5_Angstroms/emb1,3.163559,2.520976
151,/home/share/wesolowski/NR_CGE_HUJI,401,5_Angstroms/emb1,3.370483,2.405244
152,/home/share/wesolowski/NR_CGE_HUJI,402,5_Angstroms/emb1,3.244659,2.510546
153,/home/share/wesolowski/NR_CGE_HUJI,403,5_Angstroms/emb1,3.405714,2.577445
154,/home/share/wesolowski/NR_CGE_HUJI,404,5_Angstroms/emb1,3.08108,2.645044
155,/home/share/wesolowski/NR_CGE_HUJI,405,5_Angstroms/emb1,3.495783,2.549005
156,/home/share/wesolowski/NR_CGE_HUJI,406,5_Angstroms/emb1,3.529269,2.484831
157,/home/share/wesolowski/NR_CGE_HUJI,407,5_Angstroms/emb1,3.295744,2.63223
158,/home/share/wesolowski/NR_CGE_HUJI,408,5_Angstroms/emb1,3.518097,2.588586
159,/home/share/wesolowski/NR_CGE_HUJI,409,5_Angstroms/emb1,3.525573,2.499914
160,/home/share/wesolowski/NR_CGE_HUJI,410,5_Angstroms/emb1,3.207008,2.665022
161,/home/share/wesolowski/NR_CGE_HUJI,411,5_Angstroms/emb1,3.434948,2.540146
162,/home/share/wesolowski/NR_CGE_HUJI,412,5_Angstroms/emb1,3.49326,2.634424
163,/home/share/wesolowski/NR_CGE_HUJI,413,5_Angstroms/emb1,3.408725,2.386447
164,/home/share/wesolowski/NR_CGE_HUJI,414,5_Angstroms/emb1,3.413619,2.537228
165,/home/share/wesolowski/NR_CGE_HUJI,415,5_Angstroms/emb1,3.269504,2.439924
166,/home/share/wesolowski/NR_CGE_HUJI,416,5_Angstroms/emb1,3.544771,2.571504
167,/home/share/wesolowski/NR_CGE_HUJI,417,5_Angstroms/emb1,3.320891,2.506377
168,/home/share/wesolowski/NR_CGE_HUJI,418,5_Angstroms/emb1,3.340295,2.511228
