,base,snap,calc,SCF,ex_en,osc
99,/home/share/wesolowski/NR_CGE_HUJI,349,iso1,-985.13792723,2.923935,2.562301
100,/home/share/wesolowski/NR_CGE_HUJI,350,iso1,-985.11893291,2.887531,2.434765
101,/home/share/wesolowski/NR_CGE_HUJI,351,iso1,-985.14032978,3.132616,2.519505
102,/home/share/wesolowski/NR_CGE_HUJI,352,iso1,-985.12798325,2.83913,2.510048
103,/home/share/wesolowski/NR_CGE_HUJI,353,iso1,-985.1370287,3.167101,2.372559
104,/home/share/wesolowski/NR_CGE_HUJI,354,iso1,-985.13045422,2.907118,2.563315
105,/home/share/wesolowski/NR_CGE_HUJI,355,iso1,-985.12733553,2.870143,2.362897
106,/home/share/wesolowski/NR_CGE_HUJI,356,iso1,-985.11876798,3.014149,2.345045
107,/home/share/wesolowski/NR_CGE_HUJI,357,iso1,-985.13376902,3.052386,2.291303
108,/home/share/wesolowski/NR_CGE_HUJI,358,iso1,-985.15130063,2.985765,2.472455
109,/home/share/wesolowski/NR_CGE_HUJI,359,iso1,-985.14409502,3.165968,2.396236
110,/home/share/wesolowski/NR_CGE_HUJI,360,iso1,-985.12852324,2.922058,2.523974
111,/home/share/wesolowski/NR_CGE_HUJI,361,iso1,-985.1538915,3.170949,2.250762
112,/home/share/wesolowski/NR_CGE_HUJI,362,iso1,-985.14697305,3.243458,2.286616
113,/home/share/wesolowski/NR_CGE_HUJI,363,iso1,-985.13801734,3.280065,2.250241
114,/home/share/wesolowski/NR_CGE_HUJI,364,iso1,-985.14012758,3.198997,2.402499
115,/home/share/wesolowski/NR_CGE_HUJI,365,iso1,-985.13587673,3.20683,2.398619
116,/home/share/wesolowski/NR_CGE_HUJI,366,iso1,-985.1249292,3.205576,2.493678
117,/home/share/wesolowski/NR_CGE_HUJI,367,iso1,-985.14415446,2.969855,2.46068
118,/home/share/wesolowski/NR_CGE_HUJI,368,iso1,-985.12868814,3.142094,2.365997
119,/home/share/wesolowski/NR_CGE_HUJI,369,iso1,-985.13271575,2.820038,2.445033
120,/home/share/wesolowski/NR_CGE_HUJI,370,iso1,-985.12459584,3.002527,2.479983
121,/home/share/wesolowski/NR_CGE_HUJI,371,iso1,-985.12832318,3.197111,2.504683
122,/home/share/wesolowski/NR_CGE_HUJI,372,iso1,-985.11468977,2.961458,2.448805
123,/home/share/wesolowski/NR_CGE_HUJI,373,iso1,-985.12577088,2.819483,2.340053
124,/home/share/wesolowski/NR_CGE_HUJI,374,iso1,-985.13086716,3.407539,2.216938
125,/home/share/wesolowski/NR_CGE_HUJI,375,iso1,-985.13170328,3.05808,2.496435
126,/home/share/wesolowski/NR_CGE_HUJI,376,iso1,-985.13465265,3.264701,2.255283
127,/home/share/wesolowski/NR_CGE_HUJI,377,iso1,-985.14523888,2.924759,2.472874
128,/home/share/wesolowski/NR_CGE_HUJI,378,iso1,-985.14049181,3.168214,2.520211
129,/home/share/wesolowski/NR_CGE_HUJI,379,iso1,-985.13541892,2.976945,2.420068
130,/home/share/wesolowski/NR_CGE_HUJI,380,iso1,-985.12339345,3.1301,2.357554
131,/home/share/wesolowski/NR_CGE_HUJI,381,iso1,-985.13224485,3.119498,2.473172
132,/home/share/wesolowski/NR_CGE_HUJI,382,iso1,-985.14197783,3.311628,2.402564
133,/home/share/wesolowski/NR_CGE_HUJI,383,iso1,-985.13899582,3.127761,2.365724
134,/home/share/wesolowski/NR_CGE_HUJI,384,iso1,-985.15102567,2.982267,2.375867
135,/home/share/wesolowski/NR_CGE_HUJI,385,iso1,-985.13556551,3.012163,2.414466
136,/home/share/wesolowski/NR_CGE_HUJI,386,iso1,-985.13645232,3.156261,2.419611
137,/home/share/wesolowski/NR_CGE_HUJI,387,iso1,-985.14320692,3.235115,2.477088
138,/home/share/wesolowski/NR_CGE_HUJI,388,iso1,-985.13452035,3.130448,2.459329
139,/home/share/wesolowski/NR_CGE_HUJI,389,iso1,-985.12686085,3.006937,2.44394
140,/home/share/wesolowski/NR_CGE_HUJI,390,iso1,-985.14908755,3.175677,2.295624
141,/home/share/wesolowski/NR_CGE_HUJI,391,iso1,-985.12082883,3.009381,2.365787
142,/home/share/wesolowski/NR_CGE_HUJI,392,iso1,-985.13107164,3.266784,2.243209
143,/home/share/wesolowski/NR_CGE_HUJI,393,iso1,-985.14017322,3.137158,2.417985
144,/home/share/wesolowski/NR_CGE_HUJI,394,iso1,-985.14229276,3.112627,2.346384
145,/home/share/wesolowski/NR_CGE_HUJI,395,iso1,-985.13271586,3.203132,2.341859
146,/home/share/wesolowski/NR_CGE_HUJI,396,iso1,-985.12356051,3.15643,2.188315
147,/home/share/wesolowski/NR_CGE_HUJI,397,iso1,-985.1278974,3.179024,2.479576
148,/home/share/wesolowski/NR_CGE_HUJI,398,iso1,-985.12733218,3.081951,2.388135
149,/home/share/wesolowski/NR_CGE_HUJI,399,iso1,-985.14173838,3.28564,2.339221
150,/home/share/wesolowski/NR_CGE_HUJI,400,iso1,-985.13240506,2.904904,2.412746
151,/home/share/wesolowski/NR_CGE_HUJI,401,iso1,-985.12626166,2.965809,2.299617
152,/home/share/wesolowski/NR_CGE_HUJI,402,iso1,-985.12857192,2.963951,2.431167
153,/home/share/wesolowski/NR_CGE_HUJI,403,iso1,-985.13377945,2.99278,2.40077
154,/home/share/wesolowski/NR_CGE_HUJI,404,iso1,-985.14356393,2.905175,2.566627
155,/home/share/wesolowski/NR_CGE_HUJI,405,iso1,-985.12101055,3.03348,2.362142
